"Story","Title","Result","Date","Stability","Duration (s)"
"Serenity initial tests","Register user test","FAILURE","2019-10-17T09:58:39.073-05:00[America/Bogota]","0.0","3.87"
"Serenity initial tests","Register user test2","FAILURE","2019-10-17T10:24:53.261-05:00[America/Bogota]","0.0","3.85"
